Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1231	11.6	20.62	104.96	11.77	13.29	5.46	113.87	20.72	46.01	5	19.29	18.96	16.79	20.95	84.48
miR-1233	25.68	38.77	183.68	25.5	11.7	20.28	200.41	25.69	50.47	13.84	37.44	53.97	41.05	25.14	110.87
miR-1234	15.74	14.02	85.28	16.67	9.57	12.48	113.87	13.26	54.92	13.84	62.4	59.8	17.73	19.55	47.52
miR-1236	9.94	8.25	104.96	12.75	6.38	4.68	36.44	13.26	29.69	2.69	20.42	18.96	15.86	16.76	73.92
miR-1237	9.11	7.42	98.4	15.69	3.72	10.92	54.66	18.23	31.17	5.38	44.25	23.34	16.79	32.12	68.64
miR-1238	24.02	23.1	150.88	19.61	10.63	10.14	118.42	16.57	38.59	9.23	30.63	17.5	36.39	20.95	147.83
miR-124-3p	771.16	24.74	118.08	1665.14	15.42	1783.74	50.1	16.57	4825.41	690.88	9864.42	11470.36	1362.16	589.34	73.92
miR-1243	11.6	6.6	52.48	7.85	9.04	9.36	27.33	10.77	37.11	8.07	15.88	14.59	17.73	23.74	42.24
miR-1244	19.05	12.37	72.16	15.69	18.08	14.82	68.32	21.54	41.56	10.38	17.02	14.59	13.99	23.74	89.76
miR-1245a	9.11	7.42	85.28	8.83	13.82	10.92	50.1	8.29	22.26	6.15	12.48	13.13	16.79	12.57	47.52
miR-1245b-3p	14.08	14.02	118.08	21.57	6.91	12.48	77.43	13.26	35.62	10.76	21.56	36.46	17.73	15.36	100.32
miR-1245b-5p	25.68	27.22	157.44	23.54	10.1	10.92	127.53	16.57	44.53	7.69	19.29	26.25	32.65	25.14	68.64
miR-1246	31.48	45.37	6.56	1	47.86	1	4.55	53.03	1.48	1	1.13	1.46	69.97	25.14	21.12
miR-1247-5p	10.77	24.74	111.52	14.71	16.48	14.04	91.1	29.83	31.17	26.53	39.71	33.55	18.66	12.57	79.2
miR-1248	27.33	30.52	170.56	16.67	9.04	5.46	81.99	15.74	34.14	6.15	21.56	20.42	24.26	23.74	100.32
miR-1249	9.11	6.6	59.04	8.83	4.25	9.36	68.32	9.94	37.11	3.84	62.4	43.76	24.26	16.76	47.52
miR-1250	9.11	10.72	104.96	16.67	9.57	11.7	81.99	17.4	40.08	8.07	23.83	26.25	13.06	26.53	42.24
miR-1251	26.51	23.1	177.12	18.63	6.38	7.8	91.1	13.26	40.08	5.38	23.83	20.42	26.12	22.34	63.36
miR-1252	18.22	24.74	183.68	19.61	13.29	22.62	113.87	21.54	41.56	11.92	43.12	24.8	23.32	39.1	105.6
miR-1253	24.02	1	6.56	1	10.1	1	4.55	1	1.48	1	1.13	1.46	29.86	1.4	63.36
miR-1254	12.42	21.45	223.04	14.71	13.82	14.82	186.75	18.23	48.98	10.38	26.1	35.01	20.53	25.14	110.87
miR-1255a	21.54	11.55	85.28	9.81	16.48	19.5	113.87	22.37	50.47	7.69	21.56	30.63	10.26	26.53	42.24
miR-1255b-5p	27.33	20.62	137.76	15.69	11.17	14.04	132.09	16.57	25.23	6.92	20.42	23.34	24.26	15.36	68.64
miR-1256	9.94	14.02	78.72	11.77	10.1	7.8	22.77	11.6	23.75	5	15.88	21.88	7.46	15.36	42.24
