Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
miR-1231	106.29	44.56	43.8	263.04	195.14	242.45	26.79	11.55	48.39	12.61	38.79	27.18	30.71	47.85	47.63
miR-1233	116.58	86.49	124.67	462.95	256.12	424.29	59.32	31.97	58.07	46.84	94.83	58.9	27.02	59.34	89.55
miR-1234	126.86	144.15	138.14	263.04	109.77	196.99	36.35	31.97	45.16	28.83	40.95	38.51	22.11	30.63	32.39
miR-1236	68.57	47.18	43.8	84.17	170.75	242.45	22.96	6.22	38.71	10.81	36.64	29.45	14.74	30.63	19.05
miR-1237	72	102.22	53.91	126.26	158.55	227.3	21.05	12.43	74.2	25.22	38.79	36.24	8.6	42.11	17.15
miR-1238	89.15	70.77	40.43	273.56	341.49	348.53	55.49	21.31	48.39	23.42	84.05	45.31	24.57	38.28	53.35
miR-124-3p	11146.7	22786.8	26496.54	115.74	170.75	272.76	1781.39	1595.93	1361.38	4120.43	3146.59	3846.48	35.62	38.28	57.16
miR-1243	85.72	36.69	33.69	63.13	97.57	121.23	26.79	18.65	54.84	21.62	40.95	18.12	20.88	24.88	15.24
miR-1244	96	39.31	33.69	157.82	207.34	166.69	44.01	23.98	54.84	34.23	32.33	36.24	41.76	49.77	28.58
miR-1245a	51.43	28.83	30.32	115.74	109.77	196.99	21.05	14.21	29.03	25.22	38.79	20.39	31.94	19.14	17.15
miR-1245b-3p	82.29	49.8	84.23	178.87	231.73	272.76	32.53	24.87	35.49	28.83	40.95	49.84	15.97	30.63	32.39
miR-1245b-5p	102.86	44.56	60.65	294.6	158.55	363.68	59.32	17.76	58.07	25.22	75.43	54.37	23.34	38.28	62.88
miR-1246	3.43	2.62	3.37	10.52	48.78	15.15	72.71	1	58.07	1.8	161.64	2.27	110.55	122.5	104.79
miR-1247-5p	72	91.73	77.49	210.43	182.94	257.61	24.87	61.28	29.03	32.43	43.1	33.98	38.08	68.91	57.16
miR-1248	78.86	49.8	47.17	189.39	231.73	393.99	63.14	14.21	54.84	12.61	56.04	38.51	20.88	36.37	70.5
miR-1249	85.72	144.15	101.08	157.82	109.77	136.38	21.05	8.88	38.71	21.62	56.04	20.39	9.83	22.97	15.24
miR-1250	92.57	55.04	60.65	189.39	97.57	242.45	21.05	18.65	61.29	27.03	30.17	38.51	22.11	40.2	24.77
miR-1251	92.57	55.04	47.17	210.43	146.35	409.14	61.23	12.43	51.62	18.02	60.35	43.04	14.74	30.63	53.35
miR-1252	96	99.6	57.28	263.04	243.92	424.29	42.1	27.53	90.33	52.25	53.88	45.31	30.71	49.77	57.16
miR-1253	3.43	2.62	3.37	10.52	146.35	15.15	55.49	1	3.23	1.8	68.97	2.27	23.34	1.91	1.91
miR-1254	113.15	60.28	80.86	431.39	256.12	515.21	28.7	23.98	58.07	34.23	47.41	33.98	31.94	42.11	49.54
miR-1255a	116.58	49.8	70.76	263.04	97.57	196.99	49.75	17.76	61.29	45.04	23.71	22.65	38.08	51.68	26.67
miR-1255b-5p	58.29	47.18	53.91	305.13	158.55	318.22	63.14	15.99	35.49	32.43	56.04	36.24	25.79	38.28	47.63
miR-1256	54.86	36.69	50.54	52.61	97.57	181.84	22.96	11.55	35.49	18.02	17.24	27.18	23.34	26.8	32.39
miR-1257	89.15	44.56	33.69	242	256.12	287.91	82.28	12.43	45.16	37.84	62.5	47.57	24.57	53.59	49.54
miR-1258	72	47.18	43.8	326.17	219.53	409.14	38.27	20.43	70.97	18.02	68.97	54.37	17.2	26.8	41.92
miR-125a-3p	102.86	136.29	134.77	210.43	97.57	181.84	28.7	44.41	70.97	39.64	36.64	33.98	50.36	32.54	47.63
miR-125a-5p	13402.78	16027.29	17294.86	1578.24	1280.6	1197.11	1368.09	1613.7	1496.88	2082.74	2241.4	2577.91	1371.99	1479.58	1364.23
miR-125b-5p	32401.2	60293.03	76433.62	25346.53	28563.56	25336.35	11822.97	12723.06	11197.54	40141.34	21605.84	21171.49	8489.88	2237.55	5045.36
miR-126-3p	23136.86	18388.8	20158.8	31322.79	18904.15	12834.86	3968.42	10918.42	5210.04	4477.16	5657.39	4503.42	10512.86	39043.31	11222.5
miR-1260a	85.72	214.92	158.36	505.04	756.17	636.44	493.66	451.16	258.08	273.85	241.38	244.65	578.52	369.42	777.38
miR-1260b	109.72	212.3	154.99	189.39	97.57	136.38	30.61	24.87	45.16	32.43	60.35	33.98	20.88	40.2	43.82
miR-1261	51.43	47.18	64.02	94.69	48.78	136.38	11.48	15.99	29.03	7.21	17.24	27.18	18.42	26.8	20.96
miR-1262	85.72	76.01	77.49	94.69	109.77	196.99	13.39	19.54	35.49	9.01	25.86	22.65	11.05	42.11	34.3
miR-1263	34.29	31.45	33.69	73.65	219.53	166.69	19.13	12.43	9.68	21.62	10.78	11.33	9.83	21.05	13.34
miR-1264	99.43	49.8	74.13	231.48	182.94	227.3	45.92	23.98	90.33	48.65	60.35	40.78	41.76	51.68	53.35
miR-1265	85.72	44.56	37.06	178.87	170.75	151.53	26.79	12.43	61.29	30.63	53.88	43.04	35.62	45.94	47.63
miR-1266	58.29	62.9	57.28	115.74	73.18	151.53	17.22	13.32	64.52	23.42	36.64	29.45	25.79	32.54	32.39
miR-1267	58.29	52.42	53.91	189.39	207.34	257.61	55.49	15.99	45.16	14.41	30.17	31.71	19.65	24.88	34.3
miR-1268a	126.86	83.87	80.86	273.56	219.53	348.53	28.7	27.53	103.23	43.24	51.72	31.71	44.22	63.16	72.4
miR-1268b	54.86	34.07	43.8	178.87	158.55	196.99	44.01	12.43	41.94	30.63	47.41	40.78	35.62	28.71	45.73
