Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	3670	4258	1555	6931	5442	6019	2848	9882	48821	12017	42010	33060	9625	2865	2581
let-7b-5p	1520	855	607	4067	934	3873	1323	1451	21889	7754	24575	24223	5637	1398	1035
let-7c-5p	295	83	109	410	146	488	88	63	413	399	699	649	661	150	238
let-7d-5p	345	107	98	428	196	533	83	112	753	336	782	657	490	223	120
let-7e-5p	463	447	59	561	646	614	57	288	761	919	1415	1325	627	230	77
let-7f-5p	148	131	60	186	177	318	88	110	477	355	722	586	375	80	152
let-7g-5p	1433	883	1056	2635	2857	5580	3438	2098	15266	7769	12731	10634	2715	1062	1402
let-7i-5p	305	196	75	353	383	518	52	119	511	336	700	585	525	176	113
miR-1	48	42	31	25	67	17	23	32	38	27	23	17	27	29	17
miR-100-5p	1042	1808	170	1031	2218	829	294	1693	1470	2275	2967	2462	1078	710	330
miR-101-3p	18	22	20	14	28	17	21	30	30	29	39	35	25	18	19
miR-103a-3p	22	17	16	16	14	15	15	19	23	14	26	17	15	8	9
miR-105-5p	11	23	21	18	35	21	7	26	27	24	36	32	23	17	13
miR-106a-5p	83	176	101	99	163	123	298	698	458	446	519	461	139	69	173
miR-106b-5p	88	183	50	62	138	95	94	198	160	316	301	287	92	62	42
miR-107	190	85	72	203	155	289	101	78	334	254	507	332	150	81	87
miR-10a-5p	41	46	44	33	82	48	49	56	43	75	40	43	45	24	54
miR-10b-5p	26	29	13	29	70	12	10	54	23	50	30	25	21	24	12
miR-1178-3p	22	32	17	25	33	22	18	35	24	24	13	23	19	19	17
miR-1179	29	37	19	21	21	14	27	12	21	19	15	8	29	27	15
miR-1180-3p	114	29	24	226	57	299	21	50	826	242	939	753	165	74	14
miR-1181	14	15	11	11	19	16	16	16	23	12	17	17	16	10	13
miR-1182	7	15	10	10	11	13	10	15	14	15	23	13	7	6	7
miR-1183	37	39	44	34	17	19	23	18	31	29	28	22	40	34	31
miR-1184	15	18	13	9	16	18	18	19	25	21	15	19	21	15	13
miR-1185-5p	16	34	17	18	15	13	20	30	15	27	10	19	25	15	11
miR-1193	17	12	11	16	27	14	19	22	20	21	23	13	18	23	16
miR-1197	13	26	23	27	18	11	22	24	24	19	21	15	15	20	23
miR-1200	23	23	35	22	16	10	24	35	27	22	12	18	24	27	19
miR-1202	25	25	18	28	31	23	28	41	41	39	36	20	29	24	12
miR-1203	8	6	21	9	5	8	12	17	23	16	23	7	15	11	11
miR-1204	26	15	22	28	17	20	14	25	31	25	28	17	18	14	14
miR-1205	36	33	30	25	14	9	17	19	33	16	18	20	33	23	24
miR-1206	19	16	14	11	18	8	13	18	17	32	19	20	12	15	15
miR-1207-3p	5	9	20	13	5	7	14	13	18	15	21	19	8	7	6
miR-1208	17	27	20	14	27	19	17	29	20	14	15	10	26	10	10
miR-122-5p	5631	10	12938	4315	11	5522	8707	14	14	4866	18	16	4900	3642	17081
miR-1224-3p	4	1	13	10	5	5	8	7	11	8	13	12	8	13	2
miR-1224-5p	13	14	26	10	19	20	30	17	30	42	31	24	20	13	12
miR-1225-3p	24	22	20	21	24	24	17	21	11	23	22	11	18	11	15
miR-1225-5p	24	19	17	12	12	19	24	18	32	23	19	18	25	12	10
miR-1226-3p	47	29	27	27	25	20	30	31	32	27	45	34	35	21	16
miR-1227-3p	15	8	7	9	8	9	14	9	14	15	7	12	12	12	12
miR-1228-3p	19	30	18	24	36	18	14	26	24	15	14	11	25	21	16
miR-1229-3p	8	15	16	12	6	11	10	14	16	17	10	14	10	11	7
miR-1231	14	25	16	12	25	7	25	25	31	13	17	13	18	15	16
miR-1233-3p	31	47	28	26	22	26	44	31	34	36	33	37	44	18	21
miR-1234-3p	19	17	13	17	18	16	25	16	37	36	55	41	19	14	9
miR-1236-3p	12	10	16	13	12	6	8	16	20	7	18	13	17	12	14
miR-1237-3p	11	9	15	16	7	14	12	22	21	14	39	16	18	23	13
miR-1238-3p	29	28	23	20	20	13	26	20	26	24	27	12	39	15	28
miR-124-3p	931	30	18	1698	29	2287	11	20	3251	1797	8694	7864	1460	422	14
miR-1243	14	8	8	8	17	12	6	13	25	21	14	10	19	17	8
miR-1244	23	15	11	16	34	19	15	26	28	27	15	10	15	17	17
miR-1245a	11	9	13	9	26	14	11	10	15	16	11	9	18	9	9
miR-1245b-3p	17	17	18	22	13	16	17	16	24	28	19	25	19	11	19
miR-1245b-5p	31	33	24	24	19	14	28	20	30	20	17	18	35	18	13
miR-1246	38	55	1	1	90	1	1	64	1	1	1	1	75	18	4
miR-1247-5p	13	30	17	15	31	18	20	36	21	69	35	23	20	9	15
miR-1248	33	37	26	17	17	7	18	19	23	16	19	14	26	17	19
miR-1249	11	8	9	9	8	12	15	12	25	10	55	30	26	12	9
miR-1250-5p	11	13	16	17	18	15	18	21	27	21	21	18	14	19	8
miR-1251-5p	32	28	27	19	12	10	20	16	27	14	21	14	28	16	12
miR-1252-5p	22	30	28	20	25	29	25	26	28	31	38	17	25	28	20
miR-1253	29	1	1	1	19	1	1	1	1	1	1	1	32	1	12
miR-1254	15	26	34	15	26	19	41	22	33	27	23	24	22	18	21
miR-1255a	26	14	13	10	31	25	25	27	34	20	19	21	11	19	8
miR-1255b-5p	33	25	21	16	21	18	29	20	17	18	18	16	26	11	13
miR-1256	12	17	12	12	19	10	5	14	16	13	14	15	8	11	8
miR-1257	43	26	19	21	20	21	23	28	26	14	17	10	29	14	21
miR-1258	20	22	27	24	14	10	31	14	21	23	18	13	32	22	18
miR-125a-3p	15	25	12	15	41	22	20	17	30	50	52	40	17	22	8
miR-125a-5p	715	716	79	1138	1117	1156	150	773	3909	1817	6115	5133	1040	464	105
miR-125b-5p	6179	2648	1672	9346	6912	22280	2409	1169	9450	14326	23004	22685	10025	3471	2342
miR-126-3p	2074	5890	847	1988	8559	2485	2977	20398	6748	12294	7016	5983	2625	1615	1550
miR-1260a	258	408	42	108	471	152	48	193	25	508	82	47	112	80	62
miR-1260b	16	23	9	15	17	18	18	21	32	28	81	46	28	14	8
miR-1261	6	11	9	12	15	4	9	14	15	18	18	19	8	9	4
miR-1262	7	18	13	10	9	5	9	22	25	22	29	23	12	11	9
miR-1263	10	7	11	5	8	12	7	11	10	14	12	10	5	3	18
miR-1264	24	28	15	18	34	27	22	27	29	27	19	22	28	28	15
miR-1265	14	25	10	19	29	17	17	24	25	14	17	11	25	19	14
miR-1266-5p	9	17	10	13	21	13	11	17	17	15	24	17	17	20	6
miR-1267	29	18	17	14	16	8	18	13	17	18	20	16	14	14	17
miR-1268a	15	38	23	14	36	24	26	33	37	31	32	24	24	32	18
miR-1268b	23	24	13	18	29	17	17	15	16	14	13	13	22	13	13
miR-1269a	14	14	9	9	11	7	13	14	20	16	22	15	19	15	15
miR-1269b	17	24	15	11	17	13	11	23	18	23	18	17	14	8	12
miR-127-3p	288	189	29	286	480	360	17	152	200	333	236	229	291	184	24
miR-127-5p	19	16	11	13	10	17	12	16	27	13	12	20	21	10	12
miR-1270	9	10	10	16	14	8	20	18	43	41	57	50	20	12	10
