Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-221-3p	28264	42139	1388	21479	36992	21743	1791	44093	17687	33834	15151	18803	24245	30386	2311
miR-340-5p	16944	6457	11705	34041	6357	26618	13017	6454	46190	22951	36422	49713	30542	19388	12914
miR-519d-3p	28483	70879	80	12548	65378	11370	122	72242	76	34556	62	132	12762	30112	93
miR-381-3p	22328	28670	1456	28815	26991	22148	1636	27536	27410	30080	20732	29477	25920	25106	1647
miR-1283	29975	54427	72	15229	52280	14319	86	59830	84	35965	88	150	16378	31583	98
miR-129-5p	11520	82	80	31039	94	24867	143	142	57941	18026	46156	70369	29363	14486	114
miR-136-3p	26080	43157	1193	19495	37353	16619	1479	40855	10431	32442	8061	11468	18992	28009	1545
let-7c-5p	15903	4983	9180	27483	5161	22824	13017	5497	32814	21251	26849	41858	32236	18263	14650
miR-16-5p	19063	28897	6392	15462	33916	15169	6398	39388	18537	23114	15789	20388	17081	20758	7691
miR-148b-3p	19671	25682	9151	20332	25790	16771	11995	26849	16002	25742	13871	17692	19947	24616	11070
miR-519a-5p	26639	47192	61	14330	46256	13305	72	51528	90	34545	61	112	15229	29354	91
miR-218-5p	14814	6542	415	26833	7188	22144	460	7654	42017	19580	33252	47179	26094	15983	561
miR-151a-3p	12390	10449	12740	20848	14636	15646	10230	15472	31352	20059	23809	36710	18171	15809	9608
miR-519b-5p	24920	43990	58	13364	43267	12465	69	48211	80	32160	52	94	14322	27434	85
miR-523-5p	24905	43968	58	13359	43257	12460	69	48193	80	32137	52	93	14313	27417	85
miR-519c-5p	24904	43967	58	13359	43253	12460	69	48191	80	32136	52	93	14313	27416	85
miR-522-5p	24898	43962	58	13359	43250	12458	69	48187	80	32134	52	93	14311	27412	85
miR-518e-5p	24892	43935	57	13350	43196	12457	69	48126	80	32107	52	93	14305	27402	85
miR-10a-5p	11666	10140	42154	13081	11894	10051	44471	12500	849	17066	699	1031	12015	14960	41374
miR-517c-3p	21657	46849	43	10441	41876	9749	51	47978	43	26432	29	49	11302	23267	57
miR-219a-2-3p	12235	38	27	26857	45	21215	58	52	40131	15627	31317	45223	26896	13122	52
miR-320a	14031	15817	6430	15725	18578	13122	6652	21986	20048	19532	15520	24268	17485	16028	7318
miR-424-5p	17006	39901	938	7134	50719	6912	773	59161	201	19473	173	249	7316	17123	976
miR-486-5p	15417	21111	566	14572	26539	12225	548	29632	16686	21026	13472	20075	15105	17980	549
miR-411-5p	12725	15161	1485	15184	21196	11694	1096	23359	23589	18132	18616	26541	13855	14626	1122
miR-519a-3p	19524	41748	32	9776	38274	8934	48	40952	52	23624	48	52	9886	20472	58
miR-518b	20593	35895	54	12506	34654	10258	91	37430	65	26642	42	84	12208	22179	93
let-7e-5p	13146	13034	1876	16716	12177	14470	2405	14003	19792	17339	15753	24178	20221	15409	2628
miR-139-5p	7358	1769	4467	15480	1951	13821	4501	2230	30414	10123	26199	36305	16169	8173	4709
miR-145-5p	15366	24768	4638	9547	22518	9196	6145	25863	3691	18137	2963	4045	10333	16420	7152
miR-515-5p	15930	36036	44	6644	33700	6562	24	40692	32	17254	22	26	7426	15920	30
miR-518c-3p	14423	31998	39	7098	34447	6615	66	39773	38	17978	18	61	7268	15866	57
miR-199b-5p	15534	29755	1027	8239	31309	7151	1172	35635	395	18026	357	452	8232	16525	1346
miR-522-3p	17763	28528	22	9549	27145	8299	34	29789	68	20433	58	73	10015	17749	35
miR-532-5p	12742	16719	5028	12867	16612	9779	5686	17445	7309	18354	5617	8389	11651	14644	5392
miR-126-5p	11187	17268	6713	8108	20151	7130	6060	23436	5450	13946	4551	6086	8203	12095	6462
let-7d-5p	8789	2773	4052	14097	2498	13041	5601	3005	18132	10281	15154	21327	16803	9480	6331
miR-19b-3p	10369	16077	8444	7520	19102	6686	9021	21917	3796	12567	3099	3955	7508	11304	9784
miR-20a-5p	9633	12363	11631	7568	14680	6737	10215	17519	5239	11711	4168	5363	7803	10502	12420
miR-379-5p	7542	9730	934	10846	15590	7636	727	15625	13692	13613	11703	16689	9940	10943	676
miR-25-3p	8263	9394	8793	9112	11644	7578	8181	12848	9347	11595	7356	11181	8779	9787	8565
miR-370-3p	6425	3597	486	14608	3592	10960	577	3619	21499	9868	16062	24474	13053	7709	549
miR-224-5p	12642	20031	1341	8035	19889	6881	1377	22455	177	17110	171	226	8332	14174	1384
miR-222-3p	9813	16076	503	8824	12591	7978	802	14784	9729	12187	7845	10791	10004	10479	763
miR-520a-3p	11835	22371	22	7437	23561	5802	15	25342	18	15805	20	20	6466	13630	24
miR-520g-3p	11291	24566	25	5595	23813	4919	43	25774	21	13918	24	42	5548	11894	31
miR-152-3p	8400	12913	7002	6759	16013	5339	7579	17285	3010	11643	2475	3405	6197	10463	6711
miR-495-3p	10181	14324	255	9078	13229	8108	307	14468	6717	13289	5258	7150	9109	10659	284
miR-10b-5p	9304	17019	1513	6973	18801	5520	1850	19891	891	14931	778	1025	6639	12896	1540
miR-1	9401	14796	749	7754	14542	6642	1037	15184	5195	12029	4104	5947	7897	10739	1153
miR-525-5p	11242	21060	30	5438	18757	5452	43	22257	38	13393	24	58	6340	11847	47
miR-93-5p	7818	11880	3168	6108	13636	5562	3099	16587	6441	9218	5476	7055	6616	8586	3418
miR-526a	11182	19970	34	5938	18770	5536	44	20305	38	13999	35	30	6034	11920	28
miR-186-5p	7380	8344	4577	6737	7862	6438	5812	8797	5932	8567	4906	6519	7432	7704	6893
miR-107	6896	4745	2559	8250	4089	7938	3240	4668	10833	7940	9287	11750	9137	7491	3901
miR-149-5p	5984	5129	104	8033	5291	7597	117	5987	12947	7908	11375	14748	9094	6640	107
miR-29b-3p	5934	5434	1657	7116	5551	6812	1776	6289	10593	6953	8836	11570	7521	6225	1899
miR-203a	7489	12886	2088	4793	15582	3901	1929	17326	764	10076	662	886	4736	8976	2017
miR-328-3p	3276	351	444	8236	299	7352	643	345	18227	3957	15397	22178	8779	3452	692
miR-455-5p	5910	6731	5058	6732	7739	5020	5013	8024	6108	8252	4742	6613	5897	6778	4982
miR-361-3p	5061	2849	2847	9016	3104	7177	3104	3347	10860	7262	8646	12765	8037	6015	3222
miR-374b-5p	5605	6454	2606	5800	7360	5389	2424	8298	8084	6641	6992	8918	6222	6099	2941
miR-518e-3p	7213	15588	21	3895	17588	3171	28	19160	16	10056	8	26	3854	8238	22
miR-338-5p	3427	58	106	8970	52	8042	141	72	16891	4492	14031	19122	9325	3977	141
miR-17-5p	5910	8158	5553	4226	10027	4101	5183	11376	2975	6862	2543	3174	4636	6668	6334
miR-520d-5p	8216	16712	19	4260	14282	3945	36	16557	19	9819	31	33	4480	8732	35
miR-372-3p	7479	14767	24	4864	15230	3838	30	14971	29	10819	15	40	4297	9229	28
miR-941	4236	2992	2744	7296	3008	5208	2592	3416	10268	5800	7956	11488	6320	4832	2792
miR-874-3p	3481	355	194	7208	383	6516	224	428	15227	4416	12160	16946	7645	3739	260
miR-518a-3p	6738	13188	16	3640	15045	3110	4	16257	32	9013	6	22	3568	7350	22
miR-512-5p	6110	17590	16	2124	16130	2110	26	18414	10	6316	NA	20	2260	6416	30
miR-744-5p	3340	1235	1122	6634	1571	5376	1004	1794	12168	4875	9428	14461	6600	4149	986
miR-30a-3p	4948	6671	2225	4998	7427	3973	2332	8010	4182	7087	3208	5162	4865	5967	2415
miR-520a-5p	7623	13383	16	3313	11533	3518	27	13670	22	8143	17	20	3979	7500	27
miR-140-5p	4012	4223	2276	4701	5107	4080	2003	5915	8078	5097	6728	8691	4906	4755	2093
miR-204-5p	2950	249	276	7073	290	6275	328	286	12634	3799	10915	14674	7623	3435	305
miR-660-5p	5694	10522	943	3718	9411	3355	1247	10557	1561	6870	1338	1653	3868	6218	1418
miR-450a-5p	6348	10337	724	3781	10364	3128	774	11648	186	8139	175	228	3848	6702	862
miR-30e-3p	3204	2871	5363	4405	3487	3633	5095	3686	5562	4738	4365	6500	4240	4014	5357
miR-145-3p	5471	7300	2157	4213	7068	3642	2921	7953	1552	7154	1249	1770	4272	5987	3032
miR-524-5p	6345	12594	17	2921	10658	3006	29	12801	29	7046	13	20	3348	6427	26
miR-543	4530	4335	288	5877	4076	4813	311	4521	6585	6041	5354	7505	5706	4829	297
miR-493-5p	6184	10822	227	3789	10088	2898	281	10816	139	7949	115	175	3805	7093	325
miR-98-5p	4277	2020	1212	6193	1862	5187	1580	2076	6359	5671	5069	8198	6539	5133	1784
miR-329-3p	3163	2022	114	5196	1816	5170	170	2134	9554	4140	8312	10760	6144	3266	178
miR-369-3p	5708	9732	205	3221	8363	3313	333	9648	1677	6075	1431	1785	3792	5892	379
miR-144-3p	5392	10517	107	3326	9356	3053	117	11040	786	6802	655	830	3368	5855	146
miR-205-5p	5836	9691	19	3192	9935	3001	21	12072	23	7056	20	28	3466	6359	8
miR-143-5p	4775	8649	1005	3335	9491	2755	1008	10532	932	6273	872	999	2997	5502	1062
let-7a-3p	3454	2764	3884	4424	2653	3931	5029	2979	4560	4252	3632	5029	4311	3715	5192
