Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-143-3p	547576	2576695	368385	275365	2890392	383489	584079	12463725	143204	1646338	247046	255852	2371123	2356658	88197
miR-26a-5p	359933	1339194	266182	286086	1370767	492447	483369	5681262	718023	1086272	1288837	1587463	2452296	1282933	74076
miR-181a-5p	314041	944711	62692	349795	958916	579087	109307	3617852	1089994	1037109	1961068	2405650	2892199	1196410	17101
miR-27b-3p	132214	417112	407729	96897	480549	146016	703752	2104840	162467	365234	262321	301832	831868	494795	110925
miR-30a-5p	113997	532135	118083	71813	547242	124491	190358	1940525	141546	353931	269150	323064	603696	413884	32281
miR-22-3p	81434	249821	516612	66010	272499	111773	823260	1038594	84766	245993	141139	175654	555971	324955	137599
let-7a-5p	79189	197527	106899	90241	195735	145108	164357	765988	280024	243868	503047	528016	706970	296404	27627
miR-451a	62220	513955	2965	19272	557490	33114	5628	1869724	6541	180031	11325	14171	183285	224292	766
miR-21-5p	69415	365501	217649	35258	367479	65098	332458	1248028	9181	232829	17487	19961	297676	255023	56490
miR-192-5p	54055	20060	787398	50314	21684	76801	1245199	96331	14772	165569	24419	30803	446204	218689	192274
miR-30d-5p	69066	317769	77391	42856	290334	82550	122588	1021039	85306	195878	160513	193140	366959	222942	21587
miR-148a-3p	51953	92173	588186	37150	96184	66049	818117	340138	4312	169820	9258	10615	331722	189830	141546
miR-122-5p	20433	59	612208	28589	90	46961	924863	18	89	67092	163	149	219577	85241	172085
miR-26b-5p	37833	181715	59175	21528	206269	37019	98631	803411	29931	106599	58531	65727	189575	131901	15883
miR-486-5p	45668	181825	4876	28539	184729	46066	12389	638194	59102	125264	101800	110212	232387	164683	1303
let-7f-5p	36427	64293	108060	43104	60089	67646	169571	239661	114508	109944	209632	214049	322353	131214	26750
miR-10b-5p	33048	283906	10013	11913	223456	25701	18962	624081	4145	113406	10460	13694	99036	105376	2550
miR-9-5p	25433	655	131	40430	803	70729	88	2219	152548	78791	317614	360561	347904	94656	37
miR-516b-5p	29087	202374	1	12686	208129	24298	1	684549	4	99915	11	110	108103	106849	NA
miR-125a-5p	26719	97709	11956	24979	94015	46724	16557	321604	80927	84359	161866	192637	205884	91364	2973
miR-515-5p	31561	282100	1	9477	221722	23940	NA	536873	3	102090	20	100	81612	91096	1
miR-92a-3p	24465	68566	121949	20223	74052	33680	183197	284260	35757	71854	63808	70000	177505	91991	32240
miR-10a-5p	25904	112909	159480	13548	98011	29565	239664	268356	1991	85103	4564	5849	109439	78709	43076
miR-16-5p	24945	105201	35374	17244	106946	32623	50754	369755	31719	70919	58341	70165	148256	84715	8901
miR-512-3p	23647	137018	4	11076	152150	18049	NA	597710	8	75420	7	67	94091	89196	NA
miR-126-3p	22516	140706	19698	10043	158635	17379	27030	532188	5003	67558	9791	11484	86806	82906	5126
miR-27a-3p	21132	114347	7607	9652	132605	13269	12623	622579	2701	55094	4138	4751	82692	84080	2123
miR-191-5p	21114	84711	39136	15590	90103	28907	57924	283234	36001	60976	67528	87904	132575	71116	9943
miR-516a-5p	20374	130482	5	8482	131573	14479	1	492548	18	58539	44	101	66530	72706	NA
miR-126-5p	19245	76586	33492	11353	94393	16735	51302	394204	11243	49109	18157	23268	106903	72898	8711
miR-30b-5p	18491	94582	13148	9380	100628	18131	14785	362861	14420	53349	28055	31952	88978	65398	3320
miR-127-3p	17054	40133	3918	19419	47744	28361	5409	200751	53513	44899	89998	105090	171306	66686	951
let-7b-5p	15590	13667	16331	21912	13954	35079	25594	55445	84033	46183	153604	155378	178244	60593	4356
miR-101-3p	15467	45330	32170	14068	51905	21048	54949	219591	29830	46629	50935	61823	133082	61934	8168
miR-30e-5p	15280	46712	42767	13255	47314	26296	66595	145316	37653	48722	73709	88870	113656	50881	11755
miR-517a-3p	13060	96711	1	4526	121180	8014	NA	428107	2	40149	4	38	40827	49611	NA
miR-517b-3p	13060	96711	1	4526	121180	8014	NA	428107	2	40149	4	38	40827	49611	NA
miR-103a-3p	13882	48548	21349	13050	46868	23789	36025	180809	33038	45436	64177	77562	117134	53952	5211
miR-141-3p	14154	84697	414	5865	98737	9123	611	382323	28	40146	28	74	50663	53946	110
let-7g-5p	11285	16348	35521	15945	16928	25522	56685	66744	55523	34772	96361	102402	119635	41441	9576
miR-378a-3p	11838	26490	100052	8671	28122	14920	150445	93695	7564	33253	13615	17028	78229	42052	24526
miR-181b-5p	10698	14620	2348	15467	15485	25696	4405	56661	56737	34794	105042	122493	131857	40761	682
miR-99b-5p	12900	49982	2913	9747	56715	15403	3745	205861	23027	33409	39896	48108	83399	45371	612
miR-199a-3p	10525	49974	23186	5746	61094	8557	35947	266509	616	32035	1026	1163	47983	43991	5931
miR-199b-3p	10525	49974	23186	5746	61094	8557	35947	266509	616	32035	1026	1163	47983	43991	5931
miR-30c-5p	10314	35706	18920	8054	33931	17331	21599	113687	28846	31551	63592	71004	75625	35479	4672
miR-424-5p	9611	78938	1080	2958	76298	5728	1838	288556	89	27922	163	242	26591	31545	277
let-7c-5p	9928	8724	17919	14371	7641	22323	28053	31946	46510	30944	83916	86453	111025	40575	4781
let-7i-5p	11512	26793	10845	11224	25478	19307	16481	99592	29432	35729	56390	55618	94068	43213	2826
miR-136-3p	9620	47015	1797	5673	56608	8539	2945	250072	6853	27616	10563	12959	49765	36927	456
miR-128-3p	8241	792	1296	17036	900	24228	1975	3610	54653	23741	94882	106890	135806	32463	274
miR-151a-3p	8555	27483	16660	8101	28864	13445	24486	111001	19315	28760	39265	43055	75151	36544	4051
miR-186-5p	9334	40872	18786	6158	37844	13500	29703	96260	16386	27320	34643	46524	54380	26417	5547
miR-411-5p	8940	28507	2582	7684	32342	11939	4128	134056	17341	25143	31798	35824	69907	33759	668
miR-146b-5p	8985	9358	67345	6537	8971	12456	132489	30718	8890	24090	16680	18811	50290	26408	19739
miR-125b-5p	7240	13892	8176	9288	14137	17438	10870	46928	34650	24322	69238	82638	72804	26897	1982
miR-1323	9518	87111	1	3605	65568	8026	NA	173459	NA	31232	4	30	27949	28816	1
let-7e-5p	7979	27237	3089	8431	25600	13062	4515	102451	24866	24151	45627	46986	64907	29426	811
miR-100-5p	8298	35665	7488	5846	39578	9417	9371	149602	10595	23019	18800	23030	50296	31306	1615
miR-181c-5p	7172	9813	1599	10314	10208	16333	2819	40685	37440	22479	62774	77870	86169	27296	467
miR-23b-3p	7930	29920	17645	5859	33847	9910	27959	114400	10617	22579	19713	26527	51873	27223	4585
miR-24-3p	7636	45987	3992	3633	47385	5660	6173	191132	2520	20267	4464	5505	29408	27710	1021
miR-151a-5p	6026	13987	11397	7376	17663	10402	15803	78999	17578	16967	29841	34824	63283	26042	2578
miR-151b	6021	13954	11356	7370	17620	10389	15746	78894	17567	16935	29819	34790	63210	26008	2568
miR-221-3p	6385	38260	986	4158	38776	7269	1584	144213	5818	20298	10728	13480	35004	24340	266
miR-204-5p	5155	1564	1018	8164	2344	12885	1855	7300	38136	15075	66767	76073	71733	19503	305
miR-23a-3p	6073	42211	2509	2715	45060	5155	3955	145489	1027	19183	1949	2712	24120	21673	605
miR-381-3p	6115	20774	1295	5558	22296	8366	2127	100859	13289	19443	21767	25668	49768	24971	331
miR-124-3p	7061	29	14	11412	32	15053	NA	11	31006	20209	45926	59541	97257	29875	NA
miR-92b-3p	3527	1584	751	7944	1836	12369	1217	7799	40534	9730	62917	78141	66702	14125	168
miR-28-3p	5783	21499	20431	3948	20215	6715	31375	68273	5850	17326	11749	14843	35929	19366	5614
miR-29a-3p	5422	17164	6168	5025	18826	8184	9239	70202	12180	15349	20192	24301	42031	19462	1533
miR-182-5p	4921	30231	1368	2113	31187	3754	2340	108616	1060	15867	2266	2585	19295	17952	341
miR-145-5p	5015	37928	3412	1835	33197	4067	5476	86755	2189	14865	5082	6934	16570	14027	902
miR-410-3p	4282	16290	339	3559	19325	4966	564	86663	6749	11950	11510	13363	33637	20556	73
miR-149-5p	5136	13150	110	4405	16027	7863	186	64326	10120	13262	17337	19786	41482	18727	36
miR-320a	4057	18115	4521	3478	20636	6363	7709	62355	7947	14365	15081	17631	29585	16391	1250
miR-340-5p	3877	5198	8441	5328	5295	8629	13553	24320	15610	12855	27858	31313	48571	16489	2089
miR-98-5p	4430	6596	3379	5133	5685	8517	4847	24471	16599	13233	30264	31677	41074	16305	869
miR-518b	5143	25019	NA	2506	25251	4153	NA	96165	NA	14061	2	14	20666	17841	NA
miR-518c-3p	3999	22981	2	1786	26999	2815	NA	107032	1	11246	1	17	15936	15311	NA
miR-25-3p	3890	13438	7797	2748	15966	4025	12775	68442	4393	10315	7582	8617	25667	15141	1909
miR-140-3p	3905	12782	3606	3515	13309	5699	7091	51630	8922	11385	15860	18186	31190	14700	856
miR-769-5p	3686	3141	1047	5458	2940	8868	1652	11611	19356	11774	36460	37228	42690	14223	263
miR-526b-5p	4173	29630	1	1360	27507	2911	NA	84096	NA	11910	NA	12	14064	13467	1
miR-222-3p	3263	18024	512	2646	18072	4764	907	60829	5713	10875	11236	14078	21779	12846	155
miR-335-5p	3975	29350	981	1568	26552	3591	1318	73093	1247	11420	2984	3537	13772	11911	239
miR-338-3p	3213	138	272	4897	180	8858	364	461	20183	9238	34459	44352	39969	10367	75
miR-423-3p	2777	6950	6398	3219	7570	5889	10690	26012	11089	8896	19531	23499	26408	10055	1907
miR-518e-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-519a-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-519b-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-519c-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-522-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-523-5p	3208	23013	NA	1105	23353	2177	NA	83999	2	10364	3	19	11004	11881	NA
miR-1283	3653	22206	NA	1532	20976	3083	NA	76292	6	12570	17	34	14318	13356	NA
miR-93-5p	3068	13239	3511	1940	15106	3326	5534	56918	3458	8720	6005	7275	17207	11024	888
miR-148b-3p	3055	14427	4940	2013	15497	3551	6320	52897	2927	9238	6132	6991	16675	10644	1219
miR-519d-3p	2706	20553	NA	838	22186	1459	NA	78475	NA	7680	NA	9	7493	9214	NA
miR-142-5p	2929	11512	5648	1833	14239	2365	9391	60566	974	7705	1413	2015	15450	10978	1513
miR-194-5p	2158	691	36696	1909	824	3240	54082	3182	582	5956	1024	1124	17311	8786	9052
miR-519a-3p	2721	19458	NA	920	21182	1706	NA	74309	3	8137	2	11	7927	9414	NA
miR-130a-3p	2866	13817	3187	1519	14955	2718	4780	57119	1868	8260	3235	3964	14551	10536	810
miR-335-3p	3006	18079	659	1441	15721	2494	890	65479	632	8587	1168	1344	12673	10296	160
miR-193b-3p	2646	15311	2739	1217	17735	1933	3797	65353	562	7703	965	1065	10455	10206	736
miR-525-5p	2800	17645	NA	1002	21343	1757	NA	68662	NA	7956	NA	12	9758	9759	NA
miR-107	2420	4966	4865	2939	5376	4333	8565	29827	6612	7282	11591	13871	26261	10600	1159
miR-19b-3p	3054	22815	5680	1234	17348	3139	8571	37587	1571	9404	4528	5661	10493	7954	1454
miR-136-5p	2595	11597	302	1450	14981	2150	540	65271	1472	7176	2076	2624	14995	9724	87
miR-517c-3p	2323	14892	NA	848	17830	1471	NA	72612	NA	6725	NA	9	7775	8357	NA
miR-205-5p	3071	18030	NA	1197	17039	2119	5	61568	4	8859	8	14	9231	10985	1
miR-520d-5p	2694	16830	NA	971	18225	1811	NA	64416	NA	7650	1	8	8647	8931	NA
let-7d-5p	2017	2436	3311	3242	2337	4936	5328	8971	11366	6370	19636	22096	25172	7867	836
miR-660-5p	2312	14751	1089	1026	14971	1842	1611	55148	874	7174	1639	1881	8631	8178	298
miR-200c-3p	2420	15384	58	1009	15256	1738	78	53967	10	7045	30	35	8525	8630	14
miR-144-5p	2266	12893	180	1186	13508	2005	317	52512	442	7549	844	900	9272	8680	53
miR-199a-5p	2095	12580	3169	942	13912	1640	4819	49761	74	5934	164	216	8300	7527	826
miR-532-5p	2198	10911	1489	1166	12020	1721	2143	49150	1224	5909	2178	2471	10126	8094	364
miR-203a	2123	12286	910	800	13692	1293	1551	54484	168	5904	325	352	6926	7544	261
miR-519c-3p	2285	14829	NA	872	15565	1658	NA	48685	1	6886	1	1	7833	8138	NA
miR-518e-3p	2015	9467	NA	1122	11338	1706	NA	51169	3	6097	2	8	9689	8429	NA
miR-409-3p	1913	7288	827	1619	7277	2671	1480	26525	4274	5556	7880	9130	13929	6757	227
miR-30a-3p	1824	8320	1457	953	9902	1561	2374	39232	1519	4868	2882	3372	9769	6716	341
miR-654-3p	1562	5211	1201	1500	6158	2094	1926	29959	3100	4334	4528	5466	14077	6868	255
miR-125b-2-3p	1496	701	2973	2191	801	3498	5024	3065	7096	4700	12428	16408	18849	5624	785
miR-15a-5p	1602	5158	2542	1551	5654	2332	3860	25000	2957	4551	5064	5638	12611	6420	658
miR-21-3p	1567	4659	7808	916	5828	1263	12202	27344	282	4070	449	536	8598	6752	1863
miR-342-3p	1767	3283	1275	1731	3661	3210	2033	12045	5106	4989	10164	11728	15448	5853	376
miR-518a-3p	1601	8796	1	703	10037	1043	NA	41452	1	4508	1	4	6265	5988	NA
miR-195-5p	1812	3210	2683	1825	3190	3300	3783	12900	4020	5287	6982	8696	15051	6271	627
miR-423-5p	1434	5056	4560	1185	4781	2296	8677	16004	2961	4586	5809	5820	9388	4988	1378
miR-1307-5p	1402	2950	3971	1629	3545	2102	6112	18187	3511	3893	5061	6027	13365	5927	949
miR-219a-2-3p	1586	5	4	2421	8	3896	1	4	7937	4477	13574	16614	22124	5821	NA
miR-520a-3p	1416	8192	1	619	9303	940	NA	41631	NA	4020	NA	2	5545	5756	NA
miR-138-5p	1410	583	34	2238	692	3919	80	2151	6937	4662	13002	15231	19859	5806	6
miR-197-3p	1594	2254	844	1796	2611	2818	1471	10464	4488	4061	7272	8060	15836	5542	248
miR-522-3p	1476	9207	NA	628	9360	1065	NA	32267	6	4354	21	26	5089	4761	NA
miR-520g-3p	1436	9357	NA	462	8569	909	NA	33456	NA	3626	3	3	4549	4400	NA
miR-520h	1436	9357	NA	462	8569	909	NA	33456	NA	3626	3	3	4549	4400	NA
miR-181a-3p	1328	4330	280	1112	4991	1852	486	18003	2945	3688	4928	6191	10655	4682	99
miR-520d-3p	1273	7210	NA	569	8440	828	NA	32052	NA	3547	NA	5	4950	4635	NA
miR-520a-5p	1177	7137	NA	453	8663	783	NA	31742	NA	3408	1	1	4475	4335	NA
miR-181a-2-3p	1121	4304	633	911	5009	1353	1044	20099	1980	3280	3349	4169	7793	4505	185
miR-29c-3p	1130	2387	1223	1250	2569	2130	1793	9773	3358	3268	5811	6928	10868	4149	345
miR-28-5p	952	3631	4439	669	4922	1067	7117	16586	630	2920	1143	1310	6021	3888	1195
miR-218-5p	1185	1386	89	1703	1571	2298	121	6993	4431	2939	7022	7920	14128	4532	27
miR-493-5p	979	6164	73	403	8153	685	140	28508	30	3210	64	76	3523	3838	21
miR-369-3p	1169	6003	183	461	6845	787	304	25840	439	2886	763	907	4504	4027	42
miR-144-3p	1024	4358	80	498	5111	588	146	30860	182	2268	281	343	4300	3933	24
miR-199b-5p	1061	7086	255	420	7523	762	403	25213	38	3297	66	100	3999	3529	63
miR-518f-3p	1116	5870	1	492	6369	859	NA	26387	NA	3378	2	4	4672	4270	NA
miR-520c-3p	1035	6950	NA	406	7926	679	NA	26103	NA	3081	NA	4	3442	3689	NA
miR-520f-3p	1031	6915	NA	403	7897	674	NA	25999	NA	3069	NA	4	3427	3678	NA
miR-487b-3p	962	3165	128	955	3634	1511	239	14662	2687	2884	4521	5083	8538	3743	32
miR-30e-3p	997	2768	3357	683	3137	1216	5124	11448	1754	2491	3405	4003	7420	3481	830
miR-99a-5p	960	1018	3030	1227	1055	1878	4552	3820	3719	2589	5848	7234	10314	3374	744
miR-425-5p	1011	3310	1400	834	4160	1388	2181	14066	1789	2632	3104	3744	7369	3684	393
miR-483-3p	936	5461	237	362	6814	542	343	26418	7	2561	14	14	3389	3900	58
miR-484	938	2563	1090	916	2696	1587	1618	10528	2606	2673	4413	5256	8169	3599	290
miR-374a-3p	966	4989	1217	553	4295	975	2049	17164	838	2796	1667	2125	5236	3216	283
miR-152-3p	958	4725	1868	482	5343	877	2606	18087	371	2769	814	914	4407	3272	519
miR-331-3p	1044	2428	443	970	2898	1410	640	12825	1604	3139	3094	3593	8776	4234	105
miR-376c-3p	803	5405	90	396	5880	637	173	21746	471	2334	761	966	3232	2907	30
miR-431-5p	843	4202	39	435	4829	566	57	24779	16	2267	41	38	3861	3624	10
miR-889-3p	872	2897	163	643	3299	1035	278	15107	1622	2298	2851	3187	7006	3450	42
miR-497-5p	825	848	1894	952	989	1790	2905	3575	3218	2266	5330	6063	9796	3213	537
miR-584-5p	950	3167	42	718	3545	1113	46	14739	1481	2383	2640	2836	7029	3420	17
miR-524-5p	931	5840	NA	344	5839	633	NA	21777	NA	2454	NA	4	3153	3038	NA
miR-874-3p	939	349	100	1221	374	2103	146	1359	3999	2550	6364	8513	11666	3537	22
miR-744-5p	739	832	689	1214	873	1933	1181	3738	3318	2534	6215	6037	9969	3498	194
miR-542-3p	793	4742	118	313	4879	529	249	21017	24	2244	50	50	2536	2800	32
miR-34c-5p	721	4257	17	576	4366	1020	22	14743	960	2711	1778	2269	4224	2692	2
miR-523-3p	950	4347	NA	447	4443	615	NA	19474	NA	2501	1	3	3978	3570	NA
miR-224-5p	879	5263	215	418	5548	660	345	17921	14	2629	26	50	3171	3114	46
miR-20a-5p	792	2863	2962	557	2731	1001	4401	9426	870	2143	1748	2184	4512	2408	723
miR-432-5p	679	3380	50	515	3527	903	70	13624	1276	2223	2431	2544	4688	2955	12
miR-29b-3p	741	2928	497	628	3058	1072	700	11076	1615	2035	2942	3540	5175	2369	103
