Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-9-5p	787503	10385	5598	1594350	10469	2347180	8450	12796	4172445	987357	4245071	4187418	NA	NA	NA
miR-26a-5p	916155	829304	305805	957926	709599	1302077	447399	852623	1210891	1070086	1257509	1184200	NA	NA	NA
miR-143-3p	769958	1420896	159874	465527	1268787	710967	219659	1559925	165739	1053871	169441	183195	NA	NA	NA
miR-21-5p	623693	971675	616259	391804	1028583	610315	785744	1294923	83699	822724	83812	90725	NA	NA	NA
miR-122-5p	506723	2481	2141686	336548	1940	467685	2864715	2469	2480	430196	2297	2685	NA	NA	NA
let-7a-5p	394981	277458	183170	508533	251844	672055	259555	286081	691628	496829	709020	539679	NA	NA	NA
let-7f-5p	278090	137647	229910	366678	121421	507416	333088	147296	483947	363021	499874	429571	NA	NA	NA
miR-27b-3p	272031	362014	266682	269041	357964	367687	325641	427843	258650	380253	270546	242107	NA	NA	NA
miR-126-3p	307612	492901	180102	210834	555104	297404	204893	630959	108488	351498	109498	115398	NA	NA	NA
miR-148a-3p	232369	115976	826479	205516	109154	318108	1250025	126989	16001	316671	17783	17043	NA	NA	NA
miR-181a-5p	208523	171711	12511	273592	172020	389589	15809	196576	520946	242152	531357	513094	NA	NA	NA
miR-128-3p	156337	4519	8082	284262	4213	434892	11614	4990	765973	156513	755532	651500	NA	NA	NA
miR-100-5p	266821	288273	84926	228898	288956	336896	113452	361226	295347	314602	308050	309407	NA	NA	NA
miR-516b-5p	388445	565228	1047	156566	500515	241918	1212	641000	1071	433002	1019	1862	NA	NA	NA
miR-24-3p	249308	437258	63878	160149	484973	238268	75907	543925	88160	294860	90590	95766	NA	NA	NA
miR-125b-5p	98670	42310	58045	224972	47843	299484	69486	53717	555607	130334	601784	513451	NA	NA	NA
miR-99a-5p	111388	26951	151603	189965	26522	281352	196681	31270	413889	130690	424509	428125	NA	NA	NA
miR-101-3p	129404	154910	103643	154374	163105	232385	120727	207220	256627	182737	258563	290323	NA	NA	NA
miR-30d-5p	167450	224791	72756	138438	231320	192361	97409	278778	147037	198554	145653	144812	NA	NA	NA
miR-30a-5p	154328	262458	45374	121625	260347	176707	61335	315581	121130	210621	120856	130421	NA	NA	NA
let-7g-5p	123864	70469	114541	190966	61963	266930	168542	73488	245698	186196	248276	157434	NA	NA	NA
miR-199a-3p	164508	285846	104274	115571	273714	155570	141270	313381	7941	228663	8468	8429	NA	NA	NA
miR-103a-3p	107242	118110	49106	136891	125656	182229	56704	142632	201948	142587	219341	192199	NA	NA	NA
miR-516a-5p	126339	358531	490	83564	311255	116007	578	358727	516	237549	470	1018	NA	NA	NA
miR-517a-3p	129933	341596	505	78288	318048	106248	580	331141	431	192702	403	1029	NA	NA	NA
miR-517b-3p	129933	341596	505	78288	318048	106248	580	331141	431	192702	403	1029	NA	NA	NA
miR-27a-3p	143125	244627	16477	79607	268894	115696	22455	322502	16476	171652	17172	17470	NA	NA	NA
miR-124-3p	57606	339	363	142315	268	189278	468	268	239857	95135	237066	280879	NA	NA	NA
miR-451a	100426	244500	4727	66747	230090	96420	6445	251757	21538	154156	21526	27700	NA	NA	NA
miR-192-5p	74110	6487	335564	68862	6112	108072	451229	7870	15005	86625	14960	15439	NA	NA	NA
let-7i-5p	87629	52751	30047	121641	46030	166977	45483	54237	167461	112309	166549	127427	NA	NA	NA
miR-125a-5p	50876	42472	14719	86856	41903	114739	19954	48508	182476	71431	209728	137371	NA	NA	NA
miR-99b-5p	75821	81578	6391	75415	81562	101869	8231	100516	124994	85158	125313	119793	NA	NA	NA
miR-30c-5p	42143	50493	62871	62406	51684	84041	81413	55355	120802	59254	132740	106898	NA	NA	NA
miR-199b-3p	82138	142721	52086	57702	136629	77670	70564	156431	3966	114187	4231	4207	NA	NA	NA
miR-7-5p	52145	10971	4445	88717	9826	132990	7873	12064	166566	75696	165704	168881	NA	NA	NA
miR-199a-5p	73139	133347	45880	50960	137098	75488	54996	153833	3298	108389	3670	3250	NA	NA	NA
miR-26b-5p	66569	119499	28680	53931	108254	75046	38570	119679	30839	92257	34632	27206	NA	NA	NA
let-7b-5p	50540	14939	17432	84458	13341	109685	25121	14793	118565	64745	118934	111846	NA	NA	NA
miR-512-3p	77570	146370	188	40092	144624	53010	212	166808	208	91694	142	324	NA	NA	NA
miR-22-3p	56195	55505	73869	47516	52048	74543	112463	66622	33254	72032	33494	40071	NA	NA	NA
miR-92a-3p	52552	47170	67497	51376	42739	66467	90249	48358	48133	66147	49160	45912	NA	NA	NA
miR-194-5p	24241	4523	148578	36627	5139	48831	165256	5430	6303	39715	6704	6729	NA	NA	NA
miR-181b-5p	26768	10056	1810	47886	9382	61366	2150	10560	95342	29786	100379	89863	NA	NA	NA
miR-191-5p	34699	39907	20942	39177	39273	52982	28262	43817	47594	43745	47148	42257	NA	NA	NA
miR-29a-3p	25845	30610	10888	35444	31689	53673	14300	34445	52540	38547	52327	57504	NA	NA	NA
