Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	1412	1091	937	1890	640	1825	1461	976	1046	728	4556	6337	1259	1097	404
let-7b-3p	7	NA	3	9	1	7	13	1	1	2	7	4	3	5	1
let-7b-5p	284	85	171	435	64	408	226	76	187	105	966	1305	348	238	79
let-7c-5p	399	159	218	551	112	571	308	152	304	155	1339	1751	466	307	102
let-7d-3p	2	NA	1	1	NA	3	2	1	2	1	11	10	2	2	NA
let-7d-5p	90	19	35	80	17	68	52	30	58	28	239	368	69	33	12
let-7e-5p	878	797	503	1209	469	1178	772	690	619	445	2804	3973	805	750	215
let-7f-1-3p	1	NA	NA	NA	NA	1	3	NA	NA	NA	NA	1	2	NA	NA
let-7f-5p	310	203	350	450	103	391	543	179	237	200	1083	1446	248	239	154
let-7g-3p	1	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	1	1	NA
let-7g-5p	198	98	193	309	89	319	223	103	138	103	836	1035	168	196	88
let-7i-5p	191	93	187	296	89	314	210	103	135	102	806	1010	165	191	86
miR-1	10	21	2	10	11	10	5	13	5	7	6	19	6	10	3
miR-100-5p	289	229	192	269	163	327	272	268	362	220	767	720	370	354	95
miR-101-3p	35	56	57	72	61	61	103	38	53	49	263	278	18	127	39
miR-101-5p	5	3	2	7	NA	2	5	3	2	1	9	9	3	3	NA
miR-103a-3p	509	374	219	322	153	328	362	462	201	196	823	661	352	264	65
miR-106a-5p	72	71	54	53	61	18	114	115	3	14	45	30	80	65	21
miR-106b-3p	2	NA	NA	1	1	NA	1	7	NA	NA	2	1	2	2	NA
miR-106b-5p	13	21	8	19	25	36	16	17	13	9	45	49	9	34	7
miR-107	509	374	219	322	153	328	362	462	200	196	822	661	351	263	64
miR-10a-5p	18	12	38	10	13	31	69	19	NA	5	4	4	8	33	29
miR-10b-5p	17	13	37	11	13	31	68	18	NA	4	2	3	8	33	29
