Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	30195	6501.79	2879.19	11574.2	20117.82	18369.75	4265.53	17815.97	35255.23	4195.83	14882.85	10709.78	27652.86	8144.97	6358.93
let-7b-5p	12505.83	1305.55	1123.9	6791.55	3452.78	11820.25	1981.5	2615.97	15806.76	2707.37	8706.16	7847.04	16195.24	3974.4	2549.98
let-7c	2427.12	126.74	201.82	684.67	539.73	1489.36	131.8	113.58	298.24	139.31	247.63	210.24	1899.07	426.44	586.37
let-7d-5p	2838.49	163.38	181.45	714.72	724.57	1626.7	124.31	201.92	543.77	117.32	277.04	212.84	1407.78	633.97	295.65
let-7e-5p	3809.34	682.55	109.24	936.82	2388.11	1873.9	85.37	519.23	549.54	320.88	501.29	429.23	1801.39	653.87	189.71
let-7f-5p	1217.67	200.03	111.09	310.6	654.33	970.52	131.8	198.32	344.46	123.95	255.78	189.83	1077.38	227.43	374.49
let-7g-5p	11790.04	1348.3	1955.25	4400.23	10561.67	17029.94	5149.19	3782.42	11024.08	2712.61	4510.2	3444.88	7800.26	3019.18	3454.17
let-7i-5p	2509.39	299.28	138.87	589.48	1415.86	1580.92	77.88	214.54	369.01	117.32	247.99	189.51	1508.34	500.35	278.4
miR-1	394.92	64.13	57.4	41.75	247.68	51.88	34.45	57.69	27.44	9.43	8.15	5.51	77.57	82.44	41.88
miR-100-5p	8573.08	2760.74	314.77	1721.69	8199.43	2530.08	440.33	3052.26	1061.53	794.33	1051.12	797.56	3097.12	2018.47	813.04
miR-101-3p	148.1	33.59	37.03	23.38	103.51	51.88	31.45	54.09	21.66	10.13	13.82	11.34	71.83	51.17	46.81
miR-103a-3p	181.01	25.96	29.63	26.72	51.75	45.78	22.47	34.25	16.61	4.89	9.21	5.51	43.1	22.74	22.17
miR-105-5p	90.5	35.12	38.88	30.06	129.39	64.09	10.48	46.87	19.5	8.38	12.75	10.37	66.08	48.33	32.03
miR-106a-5p	682.88	268.74	187.01	165.32	602.57	375.39	446.32	1258.4	330.74	155.72	183.87	149.34	399.35	196.16	426.23
miR-106b-5p	724.02	279.43	92.58	103.53	510.15	289.94	140.79	356.97	115.54	110.33	106.64	92.97	264.32	176.26	103.48
miR-107	1563.23	129.79	133.31	338.99	573	882.02	151.27	140.62	241.19	88.69	179.61	107.55	430.95	230.28	214.35
miR-10a-5p	337.33	70.24	81.47	55.11	303.14	146.49	73.39	100.96	31.05	26.19	14.17	13.93	129.29	68.23	133.04
miR-10b-5p	213.92	44.28	24.07	48.43	258.77	36.62	14.98	97.36	16.61	17.46	10.63	8.1	60.33	68.23	29.56
