Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1278	1	2	3	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA
miR-128-2-5p	3	NA	1	20	NA	11	NA	NA	22	4	14	19	7	1	2
miR-128-3p	4462	70	163	7709	92	7311	209	79	12752	3466	11745	10089	6503	3401	82
miR-1283	1191	1191	NA	486	1398	451	2	1168	4	910	NA	1	452	863	1
miR-1285-3p	1	NA	4	1	2	2	4	1	NA	NA	1	2	NA	NA	NA
miR-1287-5p	7	6	4	6	3	5	3	8	8	7	9	4	7	4	NA
miR-129-1-3p	99	NA	NA	109	NA	123	NA	NA	215	67	199	159	127	60	NA
miR-129-2-3p	99	NA	NA	109	NA	123	NA	NA	215	67	199	159	127	60	NA
miR-129-5p	166	NA	1	248	NA	263	NA	NA	419	130	366	316	258	125	NA
miR-1291	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-1296-3p	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-1298-3p	5	NA	NA	9	NA	4	NA	NA	6	3	9	11	5	2	NA
miR-1298-5p	19	NA	NA	26	NA	22	NA	NA	50	10	43	42	21	14	NA
miR-1299	3	NA	31	12	2	7	28	2	8	9	7	6	12	8	31
miR-1301-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1
miR-1302	1	NA	NA	NA	NA	1	NA	2	2	NA	NA	NA	NA	NA	NA
miR-1303	1	NA	NA	1	NA	NA	NA	NA	2	NA	NA	1	NA	1	NA
miR-1304-3p	1	2	1	4	7	3	4	4	2	3	4	1	2	5	2
miR-1305	2	7	NA	1	3	2	NA	4	NA	NA	1	NA	1	3	NA
miR-1306-5p	15	3	2	8	11	12	3	4	12	10	13	8	15	6	1
miR-1307-3p	28	15	14	25	22	21	20	14	35	22	31	36	31	18	13
miR-1307-5p	207	105	195	217	168	203	177	111	180	155	230	164	155	169	95
miR-130a-3p	3	6	2	NA	1	NA	2	NA	NA	1	NA	NA	1	2	NA
miR-130b-3p	3	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
miR-130b-5p	67	25	84	42	49	51	71	36	23	53	27	27	32	33	43
miR-132-3p	5	NA	2	1	NA	1	2	NA	5	6	1	4	1	NA	NA
miR-1323	4059	4884	7	1663	5175	1390	4	4328	4	2656	NA	4	1100	2205	2
miR-133a-3p	3	NA	NA	2	2	NA	NA	1	NA	1	4	2	1	NA	NA
miR-133a-5p	2	1	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA
miR-133b	3	NA	NA	2	2	NA	NA	1	NA	1	4	2	1	NA	NA
miR-134-3p	2	NA	NA	4	2	4	1	1	2	NA	1	1	2	3	NA
miR-134-5p	7	1	1	10	5	5	1	5	11	2	4	10	3	NA	NA
miR-1343-3p	2	1	1	6	NA	1	1	NA	4	NA	5	3	3	2	NA
miR-135a-5p	189	125	5	182	129	161	5	113	211	129	192	193	151	127	4
miR-135b-5p	189	125	5	183	129	162	5	114	208	128	192	193	151	130	4
miR-136-3p	529	584	28	302	708	319	31	543	143	420	180	117	284	413	29
miR-136-5p	5	4	1	3	5	1	NA	5	2	6	3	NA	4	10	NA
miR-138-1-3p	11	3	2	11	1	8	NA	1	21	8	15	21	8	7	NA
miR-138-2-3p	5	NA	NA	2	NA	6	NA	NA	3	4	3	5	6	1	1
miR-138-5p	75	3	NA	128	7	129	2	11	158	74	193	151	139	53	1
miR-139-5p	337	57	179	460	91	464	125	75	676	308	661	593	514	287	101
miR-140-3p	1602	980	530	1392	1172	1388	433	978	1550	1083	1597	1348	1261	1089	242
miR-140-5p	50	39	38	52	37	66	39	37	54	39	54	49	44	32	14
